User Question,MCP Tool(s),Orchestration Notes,Source (of User Question),Topic,Details,Notes
What are my prescription drugs?,,,,,,
How much was I charged for my last claim?,,,,,,
What plan am I currently on?,,,,,,
Have I met my deductibles this year?,,,,,,
Are there any preventive services I can get for diabetes?,,,,,,
Does Linsinopril only come in tablet form?,,,,,,
What dosages does Atorvastatin come in?,,,,,,
Is Vytorin covered by my plan?,,,,,,
I'm traveling to <address>. Are there any in-network pharmacies nearby?,,,,,,
I'm traveling to <address>. Is there a pharmacy I can get my Gabapentin prescription filled at?,,,,,,
I have an upcoming [procedure]. Is it covered by Medicare?,,,,,,
"What’s the difference between Original Medicare, Medicare Advantage, and Part D?",search_medicare_knowledge,Agent queries static Medicare.gov content; no patient data required.,CMS Document,,,
What does formulary mean?,search_medicare_knowledge,Agent queries static Medicare.gov content.,CMS Document,,,
What is prior authorization?,search_medicare_knowledge,Agent queries static Medicare.gov content.,CMS Document,,,
What is the difference between an HMO and a PPO?,search_medicare_knowledge,Agent queries static Medicare.gov content.,CMS Document,,,
"When can I join, switch, or drop a Medicare Advantage or Part D plan?","search_medicare_knowledge, check_eligibility_basics","If user provides age/status, agent can calculate specific enrollment periods.",CMS Document,,,
Does Medicare cover a motorized scooter?,"Search_medicare_knowledge,check_eligibility_basics","If a user is logged, check their coverage before answering",CMS Document,,,
What Medicare Advantage plans are available in my ZIP code?,"resolve_location, search_medicare_plans",Requires ZIP to FIPS resolution before searching plans.,CMS Document,,,
Show me the lowest total-cost Part D plans where I live.,"resolve_location, search_medicare_plans","Requires ZIP to FIPS; filter by plan_type = PDP, sort by total cost.",CMS Document,,,
"Which plans have dental, vision, and hearing?","resolve_location, search_medicare_plans",Filter search by supplemental benefit booleans.,CMS Document,,,
Which PPO Medicare Advantage plans in my area have at least 4 stars?,"resolve_location, search_medicare_plans","Filter by plan_type = MA-PD/MA, network_type = PPO, star_rating >= 4.",CMS Document,,,
Are there any $0-premium plans in my county?,"resolve_location, search_medicare_plans",Filter by premium = 0.,CMS Document,,,
Which plans include SilverSneakers or transportation benefits?,"resolve_location, search_medicare_plans",Filter by specific supplemental benefit flags.,CMS Document,,,
Which D-SNP plans are available where I live?,"resolve_location, search_medicare_plans",Filter by snp_type = D-SNP.,CMS Document,,,
Which Part D plans cover Eliquis and Jardiance?,"search_drugs_and_dosages, calculate_drug_costs",Agent must resolve drug names to RxCUIs/NDCs before checking formulary status.,CMS Document,,,
Which plans cover all of my drugs?,"search_drugs_and_dosages, calculate_drug_costs",Resolve all drugs; filter plans where all NDCs are on formulary.,CMS Document,,,
Which plan is cheapest for my drug list at CVS?,"find_nearby_pharmacies, calculate_drug_costs","Resolve CVS to NPI, resolve drugs to NDCs, pass both to MCT cost calculation.",CMS Document,,,
Does this plan require prior auth or step therapy for Ozempic?,"search_drugs_and_dosages, calculate_drug_costs","Resolve Ozempic to NDC, query specific plan ID for restriction flags.",CMS Document,,,
What would my next fill cost under this plan?,calculate_drug_costs,Calculate phase-specific copay based on current out-of-pocket spending.,CMS Document,,,
"Which plan has the lowest annual drug cost, not just the lowest premium?","calculate_drug_costs, search_medicare_plans",Run full annual cost calculation and sort by total estimated cost (Premium + Moop + Rx).,CMS Document,,,
Are there preferred pharmacies near me for this plan?,"find_nearby_pharmacies, check_pharmacy_network_status","Locate NPIs via radius, then check preferred status against the plan_id.",CMS Document,,,
Does this plan offer preferred mail order?,get_plan_details,Check plan structural details for mail-order tiering.,CMS Document,,,
Which plan has the best pharmacy access near my home?,"find_nearby_pharmacies, check_pharmacy_network_status",Aggregate in-network/preferred pharmacy counts for top plans in the ZIP.,CMS Document,,,
